# Force and moment coefficients
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# liftDir           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# rollAxis          : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# yawAxis           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 4.000000000000e+01
# lRef              : 1.044000000000e+00
# Aref              : 1.120000000000e-01
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	Cd                  	Cd(f)               	Cd(r)               	Cl                  	Cl(f)               	Cl(r)               	CmPitch             	CmRoll              	CmYaw               	Cs                  	Cs(f)               	Cs(r)               
580                 	3.668051997226e-01	1.835026424146e-01	1.833025573080e-01	5.381205223243e-01	-6.689174314360e-02	6.050122654679e-01	-3.359520043058e-01	1.000425533450e-04	-9.392178374253e-04	-2.636565524892e-03	-2.257500599871e-03	-3.790649250206e-04
581                 	3.713223945827e-01	1.854364715431e-01	1.858859230396e-01	5.362103747139e-01	-7.078780601440e-02	6.069981807283e-01	-3.388929933714e-01	-2.247257482731e-04	-2.370425139630e-03	-8.308720289632e-03	-6.524785284446e-03	-1.783935005186e-03
582                 	3.757149713910e-01	1.873793051020e-01	1.883356662891e-01	5.331446738387e-01	-7.276398470170e-02	6.059086585404e-01	-3.393363216211e-01	-4.781805935481e-04	-3.137699826587e-03	-1.214516162588e-02	-9.210280639528e-03	-2.934880986354e-03
583                 	3.788703660571e-01	1.889250319637e-01	1.899453340934e-01	5.324115482869e-01	-7.222241834417e-02	6.046339666310e-01	-3.384281924876e-01	-5.101510648639e-04	-2.914362269990e-03	-1.311879518526e-02	-9.473759862618e-03	-3.645035322638e-03
584                 	3.802540617112e-01	1.898258440081e-01	1.904282177030e-01	5.293425685290e-01	-6.981217169515e-02	5.991547402241e-01	-3.344834559596e-01	-3.011868474411e-04	-1.906732100446e-03	-1.133494518961e-02	-7.574204695249e-03	-3.760740494357e-03
585                 	3.802696186746e-01	1.900855738799e-01	1.901840447948e-01	5.163248089216e-01	-6.587590478029e-02	5.822007137019e-01	-3.240383092411e-01	-4.923545744590e-05	-4.892494328251e-04	-7.782483387005e-03	-4.380491126327e-03	-3.401992260677e-03
586                 	3.798515277175e-01	1.900506687729e-01	1.898008589446e-01	4.892614860891e-01	-6.004230632629e-02	5.493037924153e-01	-3.046730493708e-01	1.249049141795e-04	8.528691125311e-04	-3.682267548963e-03	-9.882646619504e-04	-2.694002887013e-03
587                 	3.791328762245e-01	1.897684023670e-01	1.893644738575e-01	4.526474257652e-01	-5.167333691838e-02	5.043207626836e-01	-2.779970498010e-01	2.019642547093e-04	1.921082749603e-03	8.223699856210e-04	2.332267742414e-03	-1.509897756793e-03
588                 	3.771957099029e-01	1.888084694139e-01	1.883872404891e-01	4.166495165969e-01	-4.051048400486e-02	4.571600006018e-01	-2.488352423033e-01	2.106144623860e-04	2.561341152134e-03	4.904428350193e-03	5.013555327231e-03	-1.091269770371e-04
589                 	3.727855443696e-01	1.865987513809e-01	1.861867929886e-01	3.853128700311e-01	-2.797224615257e-02	4.132851161837e-01	-2.206286811681e-01	2.059791961520e-04	3.050586506739e-03	8.219842143505e-03	7.160507578491e-03	1.059334565014e-03
590                 	3.657931737541e-01	1.831355506250e-01	1.826576231291e-01	3.589730248038e-01	-1.655225539902e-02	3.755252802029e-01	-1.960387678009e-01	2.389637479772e-04	3.565337700667e-03	1.027989646408e-02	8.705285932708e-03	1.574610531374e-03
591                 	3.588325798426e-01	1.796969704859e-01	1.791356093568e-01	3.359959166253e-01	-8.289685412742e-03	3.442856020381e-01	-1.762876437254e-01	2.806805645411e-04	3.885154873182e-03	1.065522233991e-02	9.212766043138e-03	1.442456296773e-03
592                 	3.547602453724e-01	1.776360092941e-01	1.771242360782e-01	3.163370476133e-01	-3.812389641030e-03	3.201494372543e-01	-1.619809134477e-01	2.558866079508e-04	3.556315358516e-03	9.031279141813e-03	8.071954929422e-03	9.593242123902e-04
